""	"lower .95"	"upper .95"	"hazard"	"Pvalues"	"WaldsP"
"Macrophages"	"1.58"	"8.37"	"3.64"	"2.4e-03"	"2.2e-16"
"survival_data$age_at_initial_pathologic_diagnosis"	"1.03"	"1.05"	"1.04"	"0.0e+00"	"2.2e-16"
"survival_data$genderMALE"	"0.89"	"1.33"	"1.09"	"3.9e-01"	"2.2e-16"
"survival_data$GeneExp_SubtypeMesenchymal"	"0.68"	"1.18"	"0.9"	"4.4e-01"	"2.2e-16"
"survival_data$GeneExp_SubtypeNeural"	"0.8"	"1.43"	"1.07"	"6.6e-01"	"2.2e-16"
"survival_data$GeneExp_SubtypeProneural"	"0.87"	"1.51"	"1.15"	"3.3e-01"	"2.2e-16"
