""	"confidence_intervals"	"hazard"	"Pvalues"	"WaldsP"
"Macrophages"	"1.15"	"2.23"	"1.8e-02"	"1.8e-02"
"upper .95"	"4.35"	"2.23"	"1.8e-02"	"1.8e-02"
