""	"IHCClassicalCD4"	"IHCMesenchymalCD4"	"IHCNeuralCD4"	"TCGAClassicalCD4"	"TCGAMesenchymalCD4"	"TCGANeuralCD4"
"IHCMesenchymalCD4"	0.0738346964019912	NA	NA	9.27279261570134e-13	NA	NA
"IHCNeuralCD4"	1	0.347827561074937	NA	0.606392728606896	9.16184217644505e-06	NA
"IHCProneuralCD4"	1	0.146233990574625	1	1	3.05419208249878e-15	0.107713840169057
