""	"confidence_intervals"	"hazard"	"Pvalues"	"WaldsP"
"CD4"	"0.34"	"1.24"	"7.4e-01"	"7.4e-01"
"upper .95"	"4.56"	"1.24"	"7.4e-01"	"7.4e-01"
