""	"lower .95"	"upper .95"	"hazard"	"Pvalues"	"WaldsP"
"CD8"	"0.6"	"3.5"	"1.45"	"4.1e-01"	"3.4e-15"
"survival_data$age_at_initial_pathologic_diagnosis"	"1.03"	"1.04"	"1.04"	"0.0e+00"	"3.4e-15"
"survival_data$genderMALE"	"0.91"	"1.35"	"1.11"	"3.1e-01"	"3.4e-15"
"survival_data$GeneExp_SubtypeMesenchymal"	"0.77"	"1.34"	"1.02"	"9.0e-01"	"3.4e-15"
"survival_data$GeneExp_SubtypeNeural"	"0.82"	"1.48"	"1.1"	"5.3e-01"	"3.4e-15"
"survival_data$GeneExp_SubtypeProneural"	"0.8"	"1.37"	"1.05"	"7.3e-01"	"3.4e-15"
