""	"lower .95"	"upper .95"	"hazard"	"Pvalues"	"WaldsP"
"CD4"	"0.38"	"7.85"	"1.73"	"4.8e-01"	"3.6e-15"
"survival_data$age_at_initial_pathologic_diagnosis"	"1.03"	"1.04"	"1.04"	"0.0e+00"	"3.6e-15"
"survival_data$genderMALE"	"0.91"	"1.35"	"1.11"	"3.0e-01"	"3.6e-15"
"survival_data$GeneExp_SubtypeMesenchymal"	"0.78"	"1.34"	"1.03"	"8.5e-01"	"3.6e-15"
"survival_data$GeneExp_SubtypeNeural"	"0.83"	"1.49"	"1.11"	"4.9e-01"	"3.6e-15"
"survival_data$GeneExp_SubtypeProneural"	"0.81"	"1.39"	"1.06"	"6.7e-01"	"3.6e-15"
