""	"IHCClassicalCD8"	"IHCMesenchymalCD8"	"IHCNeuralCD8"	"TCGAClassicalCD8"	"TCGAMesenchymalCD8"	"TCGANeuralCD8"
"IHCMesenchymalCD8"	1	NA	NA	2.52476375315224e-14	NA	NA
"IHCNeuralCD8"	1	1	NA	0.0279359277819053	0.000311390296679053	NA
"IHCProneuralCD8"	0.904410003515022	0.143774808299085	1	0.699011458285111	2.14260370925261e-09	0.878952792281206
