""	"CD4"	"CD8"	"Macrophages"
"TCGA-27-1833-01"	-0.503870547892236	-0.598342042980414	-0.246499092164627
"TCGA-06-0881-01"	-0.376164779438224	-0.346179899944019	0.139421883223332
"TCGA-27-1831-01"	-0.433273328440477	-0.452123666907628	-0.145707795049932
"TCGA-16-1060-01"	-0.446407642367654	-0.527745185568205	-0.194477439276037
"TCGA-02-0258-01"	-0.523554357190605	-0.583944340088257	-0.494021126195436
"TCGA-06-0238-01"	-0.47187655936932	-0.459936970864935	-0.222960619541529
"TCGA-06-0125-01"	-0.538610155443057	-0.656129463406452	-0.364426785109991
"TCGA-12-1099-01"	-0.540845161487288	-0.590427341995872	-0.337534409010314
"TCGA-06-0216-01"	-0.498423251301721	-0.603883046331155	-0.340758084671981
"TCGA-08-0245-01"	-0.527083793039521	-0.570040802853425	-0.296456838720462
"TCGA-19-1787-01"	-0.512694354184192	-0.566761019670362	-0.195201765967603
"TCGA-08-0373-01"	-0.515024217569542	-0.603245401259606	-0.223316071947298
"TCGA-28-5213-01"	-0.401146536794389	-0.309860480693676	-0.119385659361256
"TCGA-28-1760-01"	-0.476255940000504	-0.550832839546688	-0.217572184205328
"TCGA-08-0514-01"	-0.529613218665585	-0.618070528948808	-0.297982093296504
"TCGA-14-0812-01"	-0.497811778546353	-0.556381110573925	-0.179259611581224
"TCGA-76-4932-01"	-0.503243390763199	-0.598277806055998	-0.401480234071331
"TCGA-02-0014-01"	-0.568843723935639	-0.590671175444601	-0.50350423441799
"TCGA-08-0392-01"	-0.484113519155692	-0.48472316823178	-0.213309228068726
"TCGA-06-5412-01"	-0.437316775202109	-0.441354442251733	-0.0935746256373406
"TCGA-15-1446-01"	-0.520775240496465	-0.54227227481716	-0.27902705516869
"TCGA-16-1045-01"	-0.405113274518458	-0.480618171013976	-0.0182549824397744
"TCGA-06-0141-01"	-0.410922594772667	-0.439582199310579	0.0181508145366249
"TCGA-12-0657-01"	-0.487368317011549	-0.599167314390625	-0.247611530522613
"TCGA-19-5960-01"	-0.526983711317455	-0.648972626101791	-0.362116095376442
"TCGA-28-1753-01"	-0.47235283408121	-0.484032731998656	-0.0109952260927636
"TCGA-08-0520-01"	-0.481098974413177	-0.573080234244778	-0.352368833137321
"TCGA-32-2498-01"	-0.497491573806215	-0.511932829581119	-0.170339933534282
"TCGA-02-0038-01"	-0.545780058853959	-0.505555682284602	-0.551861520032829
"TCGA-06-0168-01"	-0.45274843695798	-0.529983168009089	-0.0985035819765882
"TCGA-12-0821-01"	-0.534557981702999	-0.644819609888824	-0.325958778188722
"TCGA-32-1986-01"	-0.481064221796521	-0.557118914295187	-0.21881317721204
"TCGA-06-2567-01"	-0.468139275149657	-0.474934676120083	-0.152621276827413
"TCGA-27-2526-01"	-0.381390638792344	-0.394474228176876	-0.197579211304777
"TCGA-19-1389-01"	-0.495899208486312	-0.571809000549482	-0.137635513988022
"TCGA-02-0010-01"	-0.513544178052412	-0.588079179780332	-0.458055983287551
"TCGA-19-5951-01"	-0.49830570513412	-0.621882616770312	-0.259302634541745
"TCGA-06-0195-01"	-0.518606807605662	-0.548115103445593	-0.262701159219529
"TCGA-12-5295-01"	-0.417267595589954	-0.433302666245081	-0.149913883932906
"TCGA-12-3650-01"	-0.497955772891149	-0.565987185554803	-0.306406910216515
"TCGA-28-5220-01"	-0.490332842598431	-0.557220408505212	-0.297954682130498
"TCGA-02-0059-01"	-0.38320173170389	-0.377692359989671	-0.108591653605497
"TCGA-19-1392-01"	-0.504708116323114	-0.606747862499594	-0.415600212592975
"TCGA-32-2494-01"	-0.500002306816346	-0.547421686216622	-0.120165130221038
"TCGA-32-2616-01"	-0.531979007228762	-0.579410345873536	-0.239156100247029
"TCGA-12-1602-01"	-0.511544149369535	-0.583276074865766	-0.284017775197946
"TCGA-02-0051-01"	-0.42052904331101	-0.440682680350369	-0.061688182170382
"TCGA-02-0115-01"	-0.559333616881081	-0.637432034397763	-0.196200682194774
"TCGA-12-3653-01"	-0.498423754964974	-0.561238819656256	-0.187675817010368
"TCGA-08-0353-01"	-0.549014272117171	-0.619482236415097	-0.363765176966734
"TCGA-06-5856-01"	-0.504090084376042	-0.604055606560433	-0.256371477369188
"TCGA-06-0188-01"	-0.546328024961865	-0.637265042379551	-0.303320494825808
"TCGA-06-0174-01"	-0.547040195588012	-0.604320022075742	-0.366492646302074
