""	"confidence_intervals"	"hazard"	"Pvalues"	"WaldsP"
"CD4"	"0"	"69.86"	"7.9e-01"	"7.9e-01"
"upper .95"	"3438322407198046"	"69.86"	"7.9e-01"	"7.9e-01"
